voter_id,age,education_years,income,party_id,voted_2020,political_interest,news_consumption_hrs,social_media_hrs,vote_likelihood
1,61.84782298151396,11.534596509783523,26523.67,Independent,1,8,2,2,100
2,38.39332450008786,15.813352472434131,69573.38,Independent,0,5,2,3,97.43648462198492
3,36.529132103748566,16.04786584087948,236002.43,Democrat,1,9,1,5,100
4,59.14489284490554,12.860351722325555,43734.62,Democrat,0,9,1,2,100
5,67.6985762474449,12.594840305182686,19316.85,Republican,1,4,0,1,83.17242834901754
6,52.263064721925716,17.584834528286642,66207.53,Democrat,1,9,1,3,100
7,48.250428611381444,17.306263386823726,127428.27,Democrat,0,6,3,4,100
8,41.694233765575554,13.133679517329078,85901.58,Republican,1,5,2,3,100
9,42.48598612090836,16.67709751601632,54969.46,Republican,0,5,2,4,96.72182373075452
10,39.94691011421212,17.557885668577967,30779.55,Republican,0,1,1,4,81.19771361669459
11,42.5228210740363,11.550532867584025,40412.08,Independent,1,10,0,4,100
12,50.3178221471464,13.5503869368807,61689.71,Republican,1,8,3,4,94.3096433122187
13,50.796644958419236,13.556563189388344,144827.56,Independent,0,8,1,4,100
14,44.60945600401427,15.009402483967381,87695.43,Republican,0,7,1,3,86.28117618504307
15,31.12708059037201,18.659391511283797,43072.41,Independent,1,9,5,3,100
16,56.93574267621857,15.55326318609222,62796.38,Democrat,0,10,2,1,100
17,35.035699978001404,16.38341153814005,48832.16,Democrat,1,1,1,1,84.51082444626215
18,57.68220756880285,17.618082705711956,118929.06,Democrat,0,7,4,1,100
19,24.177795488866145,14.759831841786491,76317.81,Independent,1,10,1,1,100
20,49.91192432689644,8.620058400152987,60613.6,Democrat,1,1,3,8,76.82432331056775
21,49.029977005345465,21.77772175063653,80918,Democrat,1,2,1,2,100
22,72.70010602278165,12.765975625543186,58877.96,Democrat,1,8,5,3,100
23,34.87897134120426,17.631956581944653,138096.99,Independent,1,3,2,2,98.35236975864017
24,48.54505665667189,10.900021904533444,74248.85,Republican,0,3,1,5,91.04366186969969
25,60.5889640865825,17.526822856480447,54866.26,Independent,1,5,0,5,100
26,26.637669692720845,18.373110365125793,84867.37,Republican,1,6,0,2,100
27,46.439338718028594,15.331098452903438,39984.06,Democrat,1,7,0,8,100
28,54.824256987500945,10.526528335529948,28911.64,Democrat,1,3,1,2,100
29,45.878889241545195,14.130042794943114,90057.41,Republican,0,7,2,4,70.23322129465669
30,12.145941989323752,8.784146056236876,336081.34,Republican,1,6,4,2,100
31,60.12622610871969,11.183406518026626,24659.06,Republican,1,8,4,1,91.07460061626244
32,69.34730915762685,8.839968722583338,90110.26,Republican,0,6,3,3,100
33,82.75228001157245,10.90511760826492,90814.33,Democrat,0,4,1,3,100
34,51.71360000041326,16.30485672409948,76912.82,Republican,1,6,4,3,100
35,42.79794940285548,15.927051121378843,25317.32,Republican,1,9,1,2,100
36,41.374044766693594,13.280022431500317,11581.95,Republican,1,7,1,4,100
37,44.662894931308095,9.383592182146753,72543.51,Republican,0,2,4,4,75.82477122997965
38,70.07291210254246,12.638654258277734,62843.73,Democrat,1,7,2,3,100
39,48.31742097708917,11.521579931229283,66800.25,Republican,1,8,1,2,100
40,54.04175978984398,10.478625728187236,56834.05,Independent,1,5,3,3,100
41,40.651759304518976,10.21284403033794,72910.75,Republican,1,7,4,5,100
42,83.95462332633406,15.444010833328663,47617.77,Independent,0,7,1,2,100
43,55.56622658834838,14.894056456508611,54288.83,Democrat,0,2,2,3,70.87213478654546
44,51.043551377797,16.147032514973326,85293.66,Independent,1,9,5,2,100
45,76.34341324816644,13.120076367817259,61458.02,Democrat,1,9,2,0,100
46,20.115909175562972,7.4842822167264265,203603.89,Democrat,0,4,2,4,82.52912778816321
47,59.02806961266238,13.940913904448378,69954.77,Republican,0,6,3,5,100
48,52.81458584715735,12.48299971775444,61377.95,Independent,1,6,2,5,97.15496609648916
49,51.37291979598141,7.609866250381286,30196,Democrat,1,4,3,2,84.40156001186935
50,40.826981662614955,10.862718589208422,210370.15,Republican,1,9,1,2,98.79202479158309
51,21.690312794708557,12.035030486178353,86331.37,Independent,1,3,0,4,87.74139148883734
52,70.26420752692654,10.944291836171706,58006.34,Independent,0,4,1,2,65.96091189367792
53,46.14372640078999,13.783322317380506,182490.69,Independent,1,4,1,2,100
54,3.655879170158535,15.174294888663011,51558.95,Democrat,0,6,2,4,89.21328282305927
55,43.840067065272486,22.997851833408035,136871.52,Republican,1,1,1,2,98.15284924972833
56,55.70017386867788,13.7341794347678,11983.07,Independent,1,8,3,4,92.4772705637661
57,56.067632990727766,10.270087871760303,108934.12,Democrat,1,9,2,2,95.34691299650295
58,21.484548244310066,17.543676254895356,62101.08,Republican,1,5,1,3,100
59,40.24041064626218,18.602991361349197,56223.48,Democrat,1,9,2,9,100
60,66.03970886099967,14.686475572409055,86878.79,Independent,0,8,1,1,88.45577097101378
61,39.85638549977375,14.400179785914908,27357.87,Democrat,1,6,1,2,100
62,43.2300719418865,9.219987710511656,141696.37,Independent,1,1,1,1,90.1480918453662
63,41.168846056600295,10.473711711166885,100259.8,Independent,1,8,2,0,89.93584309509617
64,42.03269321100536,10.70980858945518,59709.55,Republican,1,10,0,3,99.51532933793423
65,51.01206854763278,9.533316951819844,82749.02,Independent,0,5,3,3,87.5526815978387
66,29.32851095525617,12.040244857105323,21514,Republican,0,9,3,4,94.0821620045559
